['beritahukanlah', 'anjuran', 1]
['beritahukanlah', 'larangan', 1]
['beritahukanlah', 'informasi', 1]
['berjalan', 'anjuran', 4]
['berjalan', 'larangan', 2]
['berjalan', 'informasi', 4]
['berjalanlah', 'anjuran', 1]
['berjalanlah', 'larangan', 1]
['berjalanlah', 'informasi', 1]
['berjaya', 'anjuran', 1]
['berjaya', 'larangan', 1]
['berjaya', 'informasi', 1]
['berjumpa', 'anjuran', 1]
['berjumpa', 'larangan', 0]
['berjumpa', 'informasi', 1]
['berkabung', 'anjuran', 0]
['berkabung', 'larangan', 1]
['berkabung', 'informasi', 1]
['berkah-nya', 'anjuran', 0]
['berkah-nya', 'larangan', 1]
['berkah-nya', 'informasi', 1]
['berkendaraan', 'anjuran', 1]
['berkendaraan', 'larangan', 0]
['berkendaraan', 'informasi', 1]
['berkhitan', 'anjuran', 1]
['berkhitan', 'larangan', 1]
['berkhitan', 'informasi', 1]
['berkirim', 'anjuran', 1]
['berkirim', 'larangan', 1]
['berkirim', 'informasi', 1]
['berkulit', 'anjuran', 1]
['berkulit', 'larangan', 0]
['berkulit', 'informasi', 1]
['berkurban', 'anjuran', 6]
['berkurban', 'larangan', 0]
['berkurban', 'informasi', 6]
['berlaku', 'anjuran', 2]
['berlaku', 'larangan', 1]
['berlaku', 'informasi', 3]
['berlari', 'anjuran', 2]
['berlari', 'larangan', 0]
['berlari', 'informasi', 2]
['berlindung', 'anjuran', 0]
['berlindung', 'larangan', 1]
['berlindung', 'informasi', 1]
['berlututnya', 'anjuran', 1]
['berlututnya', 'larangan', 0]
['berlututnya', 'informasi', 1]
['bermakmum', 'anjuran', 1]
['bermakmum', 'larangan', 0]
['bermakmum', 'informasi', 1]
['bermaksiat', 'anjuran', 2]
['bermaksiat', 'larangan', 1]
['bermaksiat', 'informasi', 1]
['bermalam', 'anjuran', 1]
['bermalam', 'larangan', 0]
['bermalam', 'informasi', 1]
['bermimpi', 'anjuran', 1]
['bermimpi', 'larangan', 0]
['bermimpi', 'informasi', 1]
['bermunajat', 'anjuran', 1]
['bermunajat', 'larangan', 1]
['bermunajat', 'informasi', 1]
['bernafas', 'anjuran', 0]
['bernafas', 'larangan', 2]
['bernafas', 'informasi', 0]
['bernama', 'anjuran', 1]
['bernama', 'larangan', 0]
['bernama', 'informasi', 1]
['berpakaian', 'anjuran', 1]
['berpakaian', 'larangan', 3]
['berpakaian', 'informasi', 2]
['berpaling', 'anjuran', 1]
['berpaling', 'larangan', 1]
['berpaling', 'informasi', 1]
['berpegang', 'anjuran', 1]
['berpegang', 'larangan', 1]
['berpegang', 'informasi', 1]
['berpisah', 'anjuran', 1]
['berpisah', 'larangan', 0]
['berpisah', 'informasi', 1]
['berpuasa', 'anjuran', 1]
['berpuasa', 'larangan', 1]
['berpuasa', 'informasi', 1]
['bersabda', 'anjuran', 31]
['bersabda', 'larangan', 5]
['bersabda', 'informasi', 31]
['bersaksi', 'anjuran', 3]
['bersaksi', 'larangan', 1]
['bersaksi', 'informasi', 4]
['bersamaan', 'anjuran', 3]
['bersamaan', 'larangan', 0]
['bersamaan', 'informasi', 3]
['bersamaku', 'anjuran', 1]
['bersamaku', 'larangan', 0]
['bersamaku', 'informasi', 1]
['bersamanya', 'anjuran', 2]
['bersamanya', 'larangan', 0]
['bersamanya', 'informasi', 2]
['bersandar', 'anjuran', 1]
['bersandar', 'larangan', 0]
['bersandar', 'informasi', 1]
['bersedekah', 'anjuran', 4]
['bersedekah', 'larangan', 0]
['bersedekah', 'informasi', 4]
['bersedekahlah', 'anjuran', 2]
['bersedekahlah', 'larangan', 0]
['bersedekahlah', 'informasi', 2]
['berselimut', 'anjuran', 0]
['berselimut', 'larangan', 1]
['berselimut', 'informasi', 1]
['bersepatu', 'anjuran', 1]
['bersepatu', 'larangan', 0]
['bersepatu', 'informasi', 1]
